Date_ID,Day,Month,Year,id,name,sex,age,height,weight,team,noc,games,season,city,sport,event,medal
DT00004,14,8,2016,57241,Paula Kania,F,23.0,168.0,63.0,Poland,POL,2016 Summer,Summer,Rio de Janeiro,Tennis,Tennis Women's Doubles,
DT00008,20,8,2016,57297,Ben Kanute,M,23.0,183.0,70.0,United States,USA,2016 Summer,Summer,Rio de Janeiro,Triathlon,Triathlon Men's Olympic Distance,
DT00002,12,8,2016,57303,Kao Hao-Wen,M,21.0,180.0,82.0,Chinese Taipei,TPE,2016 Summer,Summer,Rio de Janeiro,Archery,Archery Men's Individual,
DT00002,12,8,2016,57303,Kao Hao-Wen,M,21.0,180.0,82.0,Chinese Taipei,TPE,2016 Summer,Summer,Rio de Janeiro,Archery,Archery Men's Team,
DT00003,13,8,2016,57315,Boglrka Kaps,F,23.0,168.0,54.0,Hungary,HUN,2016 Summer,Summer,Rio de Janeiro,Swimming,Swimming Women's 400 metres Freestyle,
DT00003,13,8,2016,57315,Boglrka Kaps,F,23.0,168.0,54.0,Hungary,HUN,2016 Summer,Summer,Rio de Janeiro,Swimming,Swimming Women's 800 metres Freestyle,Bronze
DT00003,13,8,2016,57315,Boglrka Kaps,F,23.0,168.0,54.0,Hungary,HUN,2016 Summer,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,
DT00008,20,8,2016,57320,Rejoice Kapfumvuti,F,24.0,160.0,53.0,Zimbabwe,ZIM,2016 Summer,Summer,Rio de Janeiro,Football,Football Women's Football,
DT00008,20,8,2016,57369,Vadim Aleksandrovich Kaptur,M,29.0,174.0,67.0,Belarus,BLR,2016 Summer,Summer,Rio de Janeiro,Diving,Diving Men's Platform,
DT00002,12,8,2016,57437,Hedvig Karakas,F,26.0,167.0,61.0,Hungary,HUN,2016 Summer,Summer,Rio de Janeiro,Judo,Judo Women's Lightweight,
DT00005,16,8,2016,57438,Aleksandar Karakaevi,M,40.0,178.0,85.0,Serbia,SRB,2016 Summer,Summer,Rio de Janeiro,Table Tennis,Table Tennis Men's Singles,
DT00004,14,8,2016,57458,rem Karamete,F,23.0,167.0,60.0,Turkey,TUR,2016 Summer,Summer,Rio de Janeiro,Fencing,"Fencing Women's Foil, Individual",
DT00003,13,8,2016,57472,Nezir Karap,M,22.0,179.0,74.0,Turkey,TUR,2016 Summer,Summer,Rio de Janeiro,Swimming,Swimming Men's 400 metres Freestyle,
DT00005,16,8,2016,57479,Andranik Karapetyan,M,20.0,180.0,77.0,Armenia,ARM,2016 Summer,Summer,Rio de Janeiro,Weightlifting,Weightlifting Men's Middleweight,
DT00008,20,8,2016,57510,Sakina Karchaoui,F,20.0,160.0,53.0,France,FRA,2016 Summer,Summer,Rio de Janeiro,Football,Football Women's Football,
DT00008,20,8,2016,57553,Menatalla Karim Ahmad,F,20.0,160.0,65.0,Egypt,EGY,2016 Summer,Summer,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Singles, 200 metres",
DT00008,20,8,2016,57559,Elvina Khaydaryanovna Karimova,F,22.0,166.0,62.0,Russia,RUS,2016 Summer,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,Bronze
DT00006,18,8,2016,57567,Andreas Pheobus Kariolou,M,33.0,181.0,74.0,Cyprus,CYP,2016 Summer,Summer,Rio de Janeiro,Sailing,Sailing Men's Windsurfer,
DT00004,14,8,2016,57571,Dmytro Mykolaiovych Kariuchenko,M,36.0,179.0,79.0,Ukraine,UKR,2016 Summer,Summer,Rio de Janeiro,Fencing,"Fencing Men's epee, Individual",
DT00004,14,8,2016,57571,Dmytro Mykolaiovych Kariuchenko,M,36.0,179.0,79.0,Ukraine,UKR,2016 Summer,Summer,Rio de Janeiro,Fencing,"Fencing Men's epee, Team",
DT00005,16,8,2016,57640,Kristian Karlsson,M,24.0,183.0,82.0,Sweden,SWE,2016 Summer,Summer,Rio de Janeiro,Table Tennis,Table Tennis Men's Singles,
DT00005,16,8,2016,57640,Kristian Karlsson,M,24.0,183.0,82.0,Sweden,SWE,2016 Summer,Summer,Rio de Janeiro,Table Tennis,Table Tennis Men's Team,
DT00005,16,8,2016,57645,Mattias Karlsson,M,24.0,191.0,88.0,Sweden,SWE,2016 Summer,Summer,Rio de Janeiro,Table Tennis,Table Tennis Men's Team,
DT00002,12,8,2016,57666,Karma,F,26.0,163.0,51.0,Bhutan,BHU,2016 Summer,Summer,Rio de Janeiro,Archery,Archery Women's Individual,
DT00008,20,8,2016,57677,Anna Olegovna Karnaukh,F,22.0,173.0,61.0,Russia,RUS,2016 Summer,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,Bronze
