Date_ID,Day,Month,Year,id,name,sex,age,height,weight,team,noc,games,season,city,sport,event,medal
DT00009,21,8,2016,129885,Nicols Lionel Wettstein Deyme,M,35.0,171.0,71.0,Ecuador,ECU,2016 Summer,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",
DT00009,21,8,2016,129896,Lieke Wevers,F,24.0,167.0,54.0,Netherlands,NED,2016 Summer,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Individual All-Around,
DT00009,21,8,2016,129896,Lieke Wevers,F,24.0,167.0,54.0,Netherlands,NED,2016 Summer,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Team All-Around,
DT00009,21,8,2016,129896,Lieke Wevers,F,24.0,167.0,54.0,Netherlands,NED,2016 Summer,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Floor Exercise,
DT00009,21,8,2016,129896,Lieke Wevers,F,24.0,167.0,54.0,Netherlands,NED,2016 Summer,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Uneven Bars,
DT00009,21,8,2016,129896,Lieke Wevers,F,24.0,167.0,54.0,Netherlands,NED,2016 Summer,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Balance Beam,
DT00009,21,8,2016,129898,Sanne Wevers,F,24.0,156.0,46.0,Netherlands,NED,2016 Summer,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Team All-Around,
DT00009,21,8,2016,129898,Sanne Wevers,F,24.0,156.0,46.0,Netherlands,NED,2016 Summer,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Uneven Bars,
DT00009,21,8,2016,129898,Sanne Wevers,F,24.0,156.0,46.0,Netherlands,NED,2016 Summer,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Balance Beam,Gold
DT00009,21,8,2016,129913,Lindsay Marie Whalen,F,34.0,175.0,72.0,United States,USA,2016 Summer,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,Gold
DT00009,21,8,2016,129920,Jason Eric Whateley,M,25.0,196.0,91.0,Australia,AUS,2016 Summer,Summer,Rio de Janeiro,Boxing,Boxing Men's Heavyweight,
DT00009,21,8,2016,129963,John Edwin Whitaker,M,60.0,171.0,70.0,Great Britain,GBR,2016 Summer,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Jumping, Individual",
DT00009,21,8,2016,129963,John Edwin Whitaker,M,60.0,171.0,70.0,Great Britain,GBR,2016 Summer,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Jumping, Team",
DT00009,21,8,2016,129965,Michael Whitaker,M,56.0,172.0,69.0,Great Britain,GBR,2016 Summer,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Jumping, Individual",
DT00009,21,8,2016,129965,Michael Whitaker,M,56.0,172.0,69.0,Great Britain,GBR,2016 Summer,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Jumping, Team",
DT00009,21,8,2016,130071,Max Antony Whitlock,M,23.0,167.0,56.0,Great Britain,GBR,2016 Summer,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Individual All-Around,Bronze
DT00009,21,8,2016,130071,Max Antony Whitlock,M,23.0,167.0,56.0,Great Britain,GBR,2016 Summer,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,
DT00009,21,8,2016,130071,Max Antony Whitlock,M,23.0,167.0,56.0,Great Britain,GBR,2016 Summer,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Floor Exercise,Gold
DT00009,21,8,2016,130071,Max Antony Whitlock,M,23.0,167.0,56.0,Great Britain,GBR,2016 Summer,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Parallel Bars,
DT00009,21,8,2016,130071,Max Antony Whitlock,M,23.0,167.0,56.0,Great Britain,GBR,2016 Summer,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horizontal Bar,
DT00009,21,8,2016,130071,Max Antony Whitlock,M,23.0,167.0,56.0,Great Britain,GBR,2016 Summer,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,
DT00009,21,8,2016,130071,Max Antony Whitlock,M,23.0,167.0,56.0,Great Britain,GBR,2016 Summer,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Pommelled Horse,Gold
DT00009,21,8,2016,130095,Tara Alice Whitten,F,36.0,166.0,67.0,Canada,CAN,2016 Summer,Summer,Rio de Janeiro,Cycling,"Cycling Women's Road Race, Individual",
DT00009,21,8,2016,130095,Tara Alice Whitten,F,36.0,166.0,67.0,Canada,CAN,2016 Summer,Summer,Rio de Janeiro,Cycling,Cycling Women's Individual Time Trial,
DT00009,21,8,2016,130103,Laura Whittle (Kenney-),F,31.0,175.0,69.0,Great Britain,GBR,2016 Summer,Summer,Rio de Janeiro,Athletics,"Athletics Women's 5,000 metres",
DT00009,21,8,2016,130110,Angela Patricia Whyte,F,36.0,170.0,62.0,Canada,CAN,2016 Summer,Summer,Rio de Janeiro,Athletics,Athletics Women's 100 metres Hurdles,
DT00009,21,8,2016,130111,Annsert Whyte,M,28.0,188.0,86.0,Jamaica,JAM,2016 Summer,Summer,Rio de Janeiro,Athletics,Athletics Men's 400 metres Hurdles,
DT00009,21,8,2016,130186,Erica Elizabeth Wiebe,F,27.0,175.0,75.0,Canada,CAN,2016 Summer,Summer,Rio de Janeiro,Wrestling,"Wrestling Women's Heavyweight, Freestyle",Gold
DT00009,21,8,2016,130204,Fabian Wiede,M,22.0,194.0,94.0,Germany,GER,2016 Summer,Summer,Rio de Janeiro,Handball,Handball Men's Handball,Bronze
DT00009,21,8,2016,130246,Patrick Wiencek,M,27.0,200.0,110.0,Germany,GER,2016 Summer,Summer,Rio de Janeiro,Handball,Handball Men's Handball,Bronze
DT00009,21,8,2016,130284,Pawe Wiesioek,M,24.0,190.0,90.0,Poland,POL,2016 Summer,Summer,Rio de Janeiro,Athletics,Athletics Men's Decathlon,
DT00009,21,8,2016,130297,Agnieszka Jadwiga Wieszczek-Kordus,F,33.0,175.0,69.0,Poland,POL,2016 Summer,Summer,Rio de Janeiro,Wrestling,"Wrestling Women's Light-Heavyweight, Freestyle",
DT00009,21,8,2016,130311,Bradley Marc Wiggins,M,36.0,190.0,82.0,Great Britain,GBR,2016 Summer,Summer,Rio de Janeiro,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
